Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
A0A0J9YSF5	unreviewed	Zinc finger protein 729b	10090	Mus musculus	248	IPR036236	136..235
A0A0J9YTU9	unreviewed	Zinc finger protein 512	10090	Mus musculus	506	IPR036236	145..197,199..227,323..377,386..410
A0A0J9YTW0	unreviewed	Zinc finger protein 512	10090	Mus musculus	222	IPR036236	28..80,82..110,172..198
A0A0J9YU71	unreviewed	Zinc finger protein 811	10090	Mus musculus	552	IPR036236	189..286,285..342,341..398,397..454,454..547
A0A0J9YUB5	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	169	IPR036236	72..167
A0A0J9YUD4	unreviewed	Zinc finger protein 433	10090	Mus musculus	600	IPR036236	104..199,198..255,254..311,310..367,366..423,422..479,478..535,534..591
A0A0J9YUW3	unreviewed	Predicted gene 5141	10090	Mus musculus	581	IPR036236	109..198,197..254,253..310,309..366,365..422,421..478,477..575
A0A0J9YV01	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	1191	IPR036236	187..239,254..304,961..1049
A0A0J9YV10	unreviewed	Zinc finger protein 512	10090	Mus musculus	226	IPR036236	45..73,135..161
A0A0J9YVF6	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	731	IPR036236	240..292,307..357
A0A0J9YVH3	unreviewed	Expressed sequence AU041133	10090	Mus musculus	498	IPR036236	85..171,170..227,226..283,282..339,338..395,394..492
A0A0M3HEP2	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	1259	IPR036236	255..307,322..372,1029..1117
A0A0N4SUW5	unreviewed	cAMP responsive element binding protein 5	10090	Mus musculus	508	IPR036236	12..40
A0A0N4SV38	unreviewed	Zinc finger protein 638	10090	Mus musculus	1239	IPR036236	1182..1231
A0A0N4SV71	unreviewed	cAMP responsive element binding protein 5	10090	Mus musculus	501	IPR036236	5..33
A0A0N4SV80	unreviewed	Zinc finger protein 638	10090	Mus musculus	1926	IPR036236	1869..1918
A0A0N4SVC6	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	153	IPR036236	94..133
A0A0N4SVI8	unreviewed	Zinc finger protein 638	10090	Mus musculus	1273	IPR036236	1216..1265
A0A0N4SW47	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	183	IPR036236	100..183
A0A0N4SWG2	unreviewed	Zinc finger protein 746	10090	Mus musculus	651	IPR036236	434..473,517..590
A0A0R3P9D3	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	598	IPR036236	103..247,279..356,406..499,498..596
A0A0R4J0E2	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	622	IPR036236	431..486,491..537
A0A0R4J0Q8	unreviewed	Zinc finger and BTB domain containing 8b	10090	Mus musculus	484	IPR036236	342..397
A0A0R4J1E1	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	690	IPR036236	233..282,593..675
A0A0R4J1L3	unreviewed	Zinc finger with KRAB and SCAN domains 3	10090	Mus musculus	553	IPR036236	311..447,479..529
A0A0R4J249	unreviewed	Zinc finger protein 110	10090	Mus musculus	832	IPR036236	669..725,724..818
A0A0R4J292	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	423	IPR036236	255..350,350..406
A0A0U1RNH4	unreviewed	Expressed sequence AI987944	10090	Mus musculus	167	IPR036236	55..111,110..165
A0A0U1RNL1	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	454	IPR036236	163..193,254..352
A0A0U1RNL9	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	493	IPR036236	186..216,277..375,389..442
A0A0U1RNN3	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	102	IPR036236	29..61,67..102
A0A0U1RNP3	unreviewed	Zinc finger protein 950	10090	Mus musculus	124	IPR036236	62..112
A0A0U1RNR6	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	1562	IPR036236	8..89,145..196,236..287,347..409,586..636,646..838,843..973,978..1028,1045..1096,1301..1354,1417..1533
A0A0U1RNU4	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	565	IPR036236	284..401,407..463,463..556
A0A0U1RNY6	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	303	IPR036236	104..182,219..278
A0A0U1RPC5	unreviewed	Zinc finger protein 109	10090	Mus musculus	652	IPR036236	289..384,388..438,438..494,494..550,549..647
A0A0U1RPI9	unreviewed	Zinc finger protein 936	10090	Mus musculus	181	IPR036236	64..99,133..181
A0A0U1RQ46	unreviewed	Zinc finger protein 950	10090	Mus musculus	609	IPR036236	73..168,167..224,223..280,279..336,335..392,391..448,447..504,503..597
A0A0U1RQ84	unreviewed	Zinc finger protein 626	10090	Mus musculus	676	IPR036236	171..266,266..322,321..378,378..434,433..490,490..568,574..667
A0A140LI81	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	90	IPR036236	37..90
A0A140LIY3	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	95	IPR036236	37..94
A0A140LJ35	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	98	IPR036236	65..97
A0A140LJI2	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	230	IPR036236	148..230
A0A140LJJ1	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	189	IPR036236	106..187
A0A1B0GR71	unreviewed	Predicted gene 4924	10090	Mus musculus	966	IPR036236	160..254,267..310,307..364,363..457,475..532,531..625,643..737,755..812,811..868,867..965
A0A1B0GRE8	unreviewed	Zinc finger and SCAN domain containing 4E	10090	Mus musculus	505	IPR036236	388..441,445..497
A0A1B0GRH6	unreviewed	Zinc finger and SCAN domain containing 4, pseudogene 3	10090	Mus musculus	506	IPR036236	393..446,446..498
A0A1B0GRI2	unreviewed	Predicted gene, 35315	10090	Mus musculus	571	IPR036236	63..103,107..163,162..219,218..297,302..359,358..437,442..499,512..564
A0A1B0GRI9	unreviewed	Predicted gene 45871	10090	Mus musculus	540	IPR036236	61..105,115..169,168..247,252..309,308..365,364..421,421..514
A0A1B0GSM0	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	539	IPR036236	31..71,75..131,130..187,186..265,270..327,326..405,410..467,480..532
A0A1B0GSS6	unreviewed	Zinc finger protein 582	10090	Mus musculus	495	IPR036236	149..285,284..341,340..434
A0A1B0GT13	unreviewed	Predicted gene, 17655	10090	Mus musculus	591	IPR036236	76..125,125..181,180..237,236..293,293..349,348..427,432..489,488..590
A0A1B0GT64	unreviewed	Zinc finger protein 873	10090	Mus musculus	667	IPR036236	85..142,154..275,280..337,336..393,392..449,448..505,504..561,560..654
A0A1B0GX55	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	180	IPR036236	75..174
A0A1C7CYU6	unreviewed	Zinc finger and SCAN domain containing 4, pseudogene 2	10090	Mus musculus	506	IPR036236	393..446,446..498
A0A1C7CYV3	unreviewed	Zinc finger and SCAN domain containing 4, pseudogene 1	10090	Mus musculus	506	IPR036236	393..446,446..498
A0A1D5RLA9	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	404	IPR036236	136..188
A0A1D5RLC5	unreviewed	Zinc finger protein 1	10090	Mus musculus	389	IPR036236	145..234,233..290,289..383
A0A1D5RLE5	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	262	IPR036236	1..43
A0A1D5RLK0	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	395	IPR036236	24..164,164..220,219..297,303..395
A0A1D5RLU7	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	370	IPR036236	126..215,214..271,270..368
A0A1D5RM15	unreviewed	Zinc finger protein 930	10090	Mus musculus	441	IPR036236	72..167,167..223,222..279,278..335,334..432
A0A1D5RM95	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	733	IPR036236	565..697
A0A1D5RMC2	unreviewed	Zinc finger protein 612	10090	Mus musculus	672	IPR036236	223..318,318..374,374..430,429..486,485..563,569..663
A0A1D5RMN1	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	718	IPR036236	550..682
A0A1L1SQN1	unreviewed	Zinc finger and BTB domain containing 44	10090	Mus musculus	595	IPR036236	376..428,428..484
A0A1L1SRM4	unreviewed	PR domain zinc finger protein 10	10090	Mus musculus	1115	IPR036236	500..614,611..662
A0A1L1SRW1	unreviewed	Zinc finger protein 872	10090	Mus musculus	207	IPR036236	108..207
A0A1L1SS03	unreviewed	PR domain zinc finger protein 10	10090	Mus musculus	1172	IPR036236	518..600,629..680
A0A1L1SSL7	unreviewed	Zinc finger and BTB domain containing 44	10090	Mus musculus	616	IPR036236	397..449,449..505
A0A1L1STM6	unreviewed	Zinc finger and BTB domain containing 47	10090	Mus musculus	627	IPR036236	505..586
A0A1L1SUE1	unreviewed	Zinc finger protein 112	10090	Mus musculus	875	IPR036236	515..640,640..718,724..851
A0A1N9M8B2	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	404	IPR036236	170..215,222..302,308..361
A0A1W2P6H7	unreviewed	Predicted gene, 32687	10090	Mus musculus	600	IPR036236	104..199,198..255,254..311,310..367,366..423,422..479,478..535,534..591
A0A1W2P707	unreviewed	Predicted gene 3055	10090	Mus musculus	186	IPR036236	89..184
A0A1W2P7G7	unreviewed	cDNA sequence BC024063	10090	Mus musculus	749	IPR036236	90..143,142..199,198..255,254..311,310..367,366..423,422..479,478..535,534..591,590..647,646..740
A0A1W2P7M3	unreviewed	KRAB domain-containing protein	10090	Mus musculus	194	IPR036236	139..192
A0A1W2P800	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	269	IPR036236	2..52,88..139,180..233
A0A1X7SB67	unreviewed	PR domain zinc finger protein 4	10090	Mus musculus	796	IPR036236	585..679,679..735
A0A1Y7VIM9	unreviewed	Zinc finger, BED type containing 3	10090	Mus musculus	152	IPR036236	36..95
A0A1Y7VIS4	unreviewed	Pluripotency associated transcript 25	10090	Mus musculus	464	IPR036236	117..275,280..337,336..393,392..449
A0A1Y7VIZ1	unreviewed	Pluripotency associated transcript 25	10090	Mus musculus	466	IPR036236	119..277,282..339,338..395,394..451
A0A1Y7VJ69	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	240	IPR036236	2..50,49..106,105..162,161..218
A0A1Y7VJF3	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	553	IPR036236	212..307,306..363,362..441,446..540
A0A1Y7VJF8	unreviewed	Pluripotency associated transcript 25	10090	Mus musculus	177	IPR036236	120..172
A0A1Y7VJI7	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	241	IPR036236	10..39
A0A1Y7VJM8	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	441	IPR036236	86..138,137..194,193..250,249..328,333..427
A0A1Y7VJR5	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	782	IPR036236	659..731
A0A1Y7VJU7	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	432	IPR036236	85..243,248..305,304..361,360..417
A0A1Y7VK00	unreviewed	Zinc finger protein 825	10090	Mus musculus	292	IPR036236	79..130,129..186,185..242,241..292
A0A1Y7VKU6	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	154	IPR036236	10..38
A0A1Y7VLK1	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	71	IPR036236	4..44
A0A1Y7VLM5	unreviewed	Zinc finger protein 37	10090	Mus musculus	591	IPR036236	250..345,344..401,400..479,484..578
A0A1Y7VLS7	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	312	IPR036236	2..101,100..157,156..213,212..310
A0A1Y7VM57	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	278	IPR036236	176..255
A0A1Y7VP64	unreviewed	Zinc finger protein 493	10090	Mus musculus	85	IPR036236	40..84
A0A286YCJ2	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	103	IPR036236	36..99
A0A286YCX3	unreviewed	Zinc finger with KRAB and SCAN domains 8	10090	Mus musculus	516	IPR036236	258..353,352..409,408..511
A0A286YD11	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	519	IPR036236	2..50,50..106,105..162,161..218,217..274,274..330,329..386,385..479
A0A286YD24	unreviewed	Zinc finger protein 65	10090	Mus musculus	226	IPR036236	77..174,173..226
A0A286YD32	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	386	IPR036236	144..280,312..362
A0A286YD55	unreviewed	Zinc finger with KRAB and SCAN domains 4	10090	Mus musculus	451	IPR036236	222..358,390..441
A0A286YDG9	unreviewed	Zinc finger protein 874b	10090	Mus musculus	176	IPR036236	102..175
A0A286YDM7	unreviewed	Zinc finger protein 459	10090	Mus musculus	111	IPR036236	60..111
A0A286YDU6	unreviewed	Zinc finger protein 458	10090	Mus musculus	205	IPR036236	87..143,142..199
A0A286YDX0	unreviewed	Zinc finger protein 459	10090	Mus musculus	166	IPR036236	91..165
A0A286YDZ2	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	373	IPR036236	270..365
A0A286YE35	unreviewed	KRAB domain-containing protein	10090	Mus musculus	230	IPR036236	112..159
A0A2I3BPD9	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	95	IPR036236	55..95
A0A2I3BPE3	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	586	IPR036236	190..269
A0A2I3BPL6	unreviewed	ZN622/Rei1/Reh1 zinc finger C2H2-type domain-containing protein	10090	Mus musculus	241	IPR036236	21..91
A0A2I3BQA9	unreviewed	WW domain binding protein 4	10090	Mus musculus	315	IPR036236	9..50
A0A2I3BQI8	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	131	IPR036236	59..111
A0A2I3BQV4	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	1002	IPR036236	368..416,626..677,907..955
A0A2I3BQZ2	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	109	IPR036236	57..107
A0A2I3BR43	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	201	IPR036236	59..111
A0A2I3BR50	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	675	IPR036236	115..166,324..419,419..475
A0A2I3BRE9	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	427	IPR036236	28..110
A0A2I3BRS7	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	464	IPR036236	367..438
A0A2I3BS40	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	141	IPR036236	59..111
A0A2R8VHX5	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	347	IPR036236	22..70,149..192,198..253
A0A2R8VJW7	unreviewed	CHHC U11-48K-type domain-containing protein	10090	Mus musculus	83	IPR036236	6..36
A0A2R8W6H0	unreviewed	Zinc finger protein 707	10090	Mus musculus	317	IPR036236	121..215,214..312
A0A2R8W747	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	143	IPR036236	49..125
A0A2U8YLA2	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	312	IPR036236	10..99,99..155,155..211,211..304
A0A2U8YLL3	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	340	IPR036236	15..71,71..127,127..183,183..239,239..332
A0A2U8YLL5	unreviewed	C2H2-type domain-containing protein	39442	Mus musculus musculus	361	IPR036236	3..92,92..148,148..204,204..260,260..353
A0A338P6D3	unreviewed	RIKEN cDNA A630089N07 gene	10090	Mus musculus	118	IPR036236	62..104
A0A338P6G3	unreviewed	Zinc finger protein 160	10090	Mus musculus	267	IPR036236	154..211,210..267
A0A338P6J1	unreviewed	RIKEN cDNA A630089N07 gene	10090	Mus musculus	117	IPR036236	72..114
A0A338P6K3	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	752	IPR036236	137..231
A0A338P6Q3	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	439	IPR036236	31..161,160..217,216..273,272..329,328..385,384..439
A0A3B2W3I6	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	513	IPR036236	165..264,265..363
A0A3B2W450	unreviewed	U1 small nuclear ribonucleoprotein C	10090	Mus musculus	157	IPR036236	16..57
A0A3B2W4C6	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	342	IPR036236	165..264,265..328
A0A3B2W7H5	unreviewed	Zinc finger protein 820	10090	Mus musculus	573	IPR036236	216..272,272..328,328..384,384..440,440..496,496..552
A0A3B2W7W5	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	258	IPR036236	9..108,109..158
A0A3B2WCF4	unreviewed	Predicted gene 7072	10090	Mus musculus	689	IPR036236	192..270,276..354,360..416,416..472,472..528,528..584,584..681
A0A3B2WCR6	unreviewed	U1 small nuclear ribonucleoprotein C	10090	Mus musculus	182	IPR036236	27..82
A0A3Q4EGJ0	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	424	IPR036236	130..245,250..307,306..363,362..419
A0A3Q4EGU5	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	101	IPR036236	56..99
A0A3Q4EI48	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	540	IPR036236	11..136,160..211,369..446,484..535
A0A494B9U1	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	194	IPR036236	140..188
A0A494BAC5	unreviewed	U1-type domain-containing protein	10090	Mus musculus	121	IPR036236	38..71
A0A494BAG6	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	1685	IPR036236	307..367,906..1100,1262..1453
A0A494BBF7	unreviewed	Double PHD fingers 2	10090	Mus musculus	349	IPR036236	163..191
A0A494BBJ0	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	93	IPR036236	34..84
A0A4D6YR16	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	252	IPR036236	1..95,95..151,151..244
A0A4D6YR39	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	280	IPR036236	1..95,95..151,151..207,207..263
A0A4D6YR53	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	280	IPR036236	1..95,95..151,151..207,220..272
A0A4D6YR72	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	308	IPR036236	1..95,95..151,151..207,207..300
A0A4D6YR86	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	308	IPR036236	1..95,95..151,151..207,207..304
A0A4D6YRA2	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	336	IPR036236	1..95,95..151,151..207,207..263,263..336
A0A4D6YRB7	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	420	IPR036236	1..95,95..151,151..207,207..263,263..319,319..416
A0A4D6YS74	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	252	IPR036236	1..95,95..151,151..244
A0A4D6YS81	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	280	IPR036236	1..123,123..179,179..272
A0A4D6YS92	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	280	IPR036236	1..123,123..179,179..272
A0A4D6YS99	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	280	IPR036236	1..95,95..151,151..207,207..263
A0A4D6YSA7	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	308	IPR036236	1..95,95..151,151..207,207..300
A0A4D6YSB2	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	252	IPR036236	1..95,95..151,151..244
A0A4D6YSB4	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	336	IPR036236	1..95,95..151,151..228,235..328
A0A4D6YSC2	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	420	IPR036236	1..95,95..151,151..207,207..263,263..319,319..412
A0A4D6YSC4	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	280	IPR036236	11..67,67..123,123..201,207..280
A0A4D6YSD7	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	280	IPR036236	11..89,95..151,151..280
A0A4D6YSE8	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	308	IPR036236	1..95,95..151,151..207,207..304
A0A4D6YSG4	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	336	IPR036236	1..95,95..172,179..235,235..332
A0A4D6YSH6	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	252	IPR036236	1..95,95..151,151..244
A0A4D6YSH7	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	364	IPR036236	1..95,95..151,151..207,207..263,263..356
A0A4D6YSJ0	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	280	IPR036236	1..95,95..151,151..207,207..263
A0A4D6YSK3	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	280	IPR036236	11..67,67..144,151..279
A0A4D6YSL7	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	308	IPR036236	1..95,95..151,151..207,207..304
A0A4D6YSM9	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	336	IPR036236	1..123,123..179,179..235,235..328
A0A4D6YSP3	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	392	IPR036236	1..95,95..151,151..207,207..263,263..391
A0A4D6YUW5	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	252	IPR036236	1..95,95..151,151..244
A0A4D6YUX4	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	280	IPR036236	1..117,123..201,207..263
A0A4D6YUY4	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	280	IPR036236	1..52,67..144,151..207,220..272
A0A4D6YUZ3	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	308	IPR036236	1..95,95..151,151..207,207..304
A0A4D6YV19	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	336	IPR036236	1..123,123..179,179..235,235..328
A0A4D6YV27	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	392	IPR036236	1..95,95..151,151..207,207..285,291..388
A0A4D6YWS1	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	252	IPR036236	1..95,95..151,151..244
A0A4D6YWT4	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	280	IPR036236	1..95,95..151,151..207,207..263
A0A4D6YWU7	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	280	IPR036236	1..95,95..172,179..272
A0A4D6YWV7	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	308	IPR036236	1..95,95..151,151..207,207..300
A0A4D6YWW9	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	336	IPR036236	1..95,95..151,151..228,235..328
A0A4D6YWY4	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	392	IPR036236	1..117,123..179,179..235,235..291,291..388
A0A4D6YYS8	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	252	IPR036236	1..95,95..151,151..244
A0A4D6YYU0	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	280	IPR036236	1..117,123..179,179..272
A0A4D6YYU9	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	280	IPR036236	11..88,95..151,151..280
A0A4D6YYW5	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	308	IPR036236	1..95,95..151,151..207,207..300
A0A4D6YYX4	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	336	IPR036236	1..95,95..151,151..228,235..328
A0A4D6YYX8	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	392	IPR036236	1..117,123..201,207..263,263..391
A0A4D6Z015	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	196	IPR036236	1..95,95..188
A0A4D6Z032	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	280	IPR036236	1..123,123..179,179..272
A0A4D6Z046	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	280	IPR036236	11..67,67..123,123..179,179..272
A0A4D6Z062	unreviewed	C2H2-type domain-containing protein	10092	Mus musculus domesticus	280	IPR036236	11..67,67..144,151..207,220..272
