Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Zinc finger	Coiled coil	Compositional bias	Domain [CC]	Domain [FT]	Repeat	Region	Protein families	Motif	Sequence similarities
P58334	reviewed	KLF16_MOUSE	Krueppel-like factor 16 (Basic transcription element-binding protein 4) (BTE-binding protein 4) (Dopamine receptor-regulating factor) (Transcription factor BTEB4)	Klf16 Bteb4 Drrf	Mus musculus (Mouse)	251	ZN_FING 126..150; /note="C2H2-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 156..180; /note="C2H2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 186..208; /note="C2H2-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"		COMPBIAS 53..65; /note="Pro residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 239..251; /note="Pro residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"	DOMAIN: The Ala/Pro-rich domain may contain discrete activation and repression subdomains and also can mediate protein-protein interactions.			REGION 48..72; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 95..125; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 201..251; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"	Sp1 C2H2-type zinc-finger protein family		SIMILARITY: Belongs to the Sp1 C2H2-type zinc-finger protein family. {ECO:0000305}.
P58462	reviewed	FOXP1_MOUSE	Forkhead box protein P1 (Forkhead-related transcription factor 1)	Foxp1	Mus musculus (Mouse)	705	ZN_FING 334..359; /note="C2H2-type"		COMPBIAS 1..19; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 276..286; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 291..311; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 314..326; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 418..431; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 640..651; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 695..705; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"	DOMAIN: The leucine-zipper is required for dimerization and transcriptional repression. {ECO:0000269|PubMed:14701752}.			REGION 1..41; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 267..286; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 291..326; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 376..397; /note="Leucine-zipper"; REGION 410..414; /note="CTBP1-binding"; REGION 418..450; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 639..705; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"			
P58463	reviewed	FOXP2_MOUSE	Forkhead box protein P2	Foxp2	Mus musculus (Mouse)	714	ZN_FING 345..370; /note="C2H2-type"		COMPBIAS 1..28; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 314..323; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 325..336; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 698..714; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"	DOMAIN: The leucine-zipper is required for dimerization and transcriptional repression. {ECO:0000269|PubMed:14701752}.			REGION 1..45; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 280..338; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 387..408; /note="Leucine-zipper"; REGION 421..425; /note="CTBP1-binding"; REGION 437..464; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 648..667; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 677..714; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"			
P70338	reviewed	GFI1_MOUSE	Zinc finger protein Gfi-1 (Growth factor independent protein 1)	Gfi1 Gfi-1	Mus musculus (Mouse)	423	ZN_FING 256..279; /note="C2H2-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 285..307; /note="C2H2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 313..335; /note="C2H2-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 341..363; /note="C2H2-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 369..391; /note="C2H2-type 5"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 397..420; /note="C2H2-type 6"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"		COMPBIAS 48..57; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"	DOMAIN: Zinc fingers 3,4 and 5 are required for DNA binding and for interaction with SPI1. {ECO:0000250}.; DOMAIN: The SNAG domain of GFIs is required for nuclear location and for interaction with some corepressors. {ECO:0000269|PubMed:17197705, ECO:0000269|PubMed:8887656}.			REGION 1..76; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1..20; /note="SNAG domain"; REGION 141..258; /note="Required for interaction with RELA"; /evidence="ECO:0000250"			
P81183	reviewed	IKZF2_MOUSE	Zinc finger protein Helios (Ikaros family zinc finger protein 2)	Ikzf2 Helios Zfpn1a2 Znfn1a2	Mus musculus (Mouse)	526	ZN_FING 112..134; /note="C2H2-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 140..162; /note="C2H2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 168..190; /note="C2H2-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 196..219; /note="C2H2-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 471..493; /note="C2H2-type 5"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 499..523; /note="C2H2-type 6"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"		COMPBIAS 29..50; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 61..77; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 368..379; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"				REGION 28..94; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 368..435; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"	Ikaros C2H2-type zinc-finger protein family		SIMILARITY: Belongs to the Ikaros C2H2-type zinc-finger protein family. {ECO:0000305}.
P97469	reviewed	SNAI2_MOUSE	Zinc finger protein SNAI2 (Neural crest transcription factor Slug) (Protein snail homolog 2)	Snai2 Slug Slugh	Mus musculus (Mouse)	269	ZN_FING 129..151; /note="C2H2-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 160..182; /note="C2H2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 186..208; /note="C2H2-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 214..236; /note="C2H2-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 242..265; /note="C2H2-type 5; atypical"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"			DOMAIN: Repression activity depends on the C-terminal DNA-binding zinc fingers and on the N-terminal repression domain. {ECO:0000250}.			REGION 1..20; /note="SNAG domain"; /evidence="ECO:0000250|UniProtKB:O43623"; REGION 81..117; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"	Snail C2H2-type zinc-finger protein family		SIMILARITY: Belongs to the snail C2H2-type zinc-finger protein family. {ECO:0000305}.
Q00899	reviewed	TYY1_MOUSE	Transcriptional repressor protein YY1 (Delta transcription factor) (NF-E1) (UCR-motif DNA-binding protein) (Yin and yang 1) (YY-1)	Yy1 Ucrbp	Mus musculus (Mouse)	414	ZN_FING 296..320; /note="C2H2-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 325..347; /note="C2H2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 353..377; /note="C2H2-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 383..407; /note="C2H2-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"		COMPBIAS 42..55; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 68..83; /note="Basic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 171..182; /note="Basic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"				REGION 1..170; /note="Interaction with the SMAD1/SMAD4 complex"; /evidence="ECO:0000250|UniProtKB:P25490"; REGION 32..83; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 118..260; /note="Gly-rich region involved in interaction with HCFC1"; /evidence="ECO:0000250|UniProtKB:P25490"; REGION 159..203; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 257..341; /note="Involved in nuclear matrix association"; /evidence="ECO:0000250|UniProtKB:P25490"; REGION 295..414; /note="Binding to DNA"; /evidence="ECO:0000250|UniProtKB:P25490"; REGION 333..371; /note="Involved in repression of activated transcription"; /evidence="ECO:0000250|UniProtKB:P25490"; REGION 371..397; /note="Involved in masking transactivation domain"; /evidence="ECO:0000250|UniProtKB:P25490"	YY transcription factor family		SIMILARITY: Belongs to the YY transcription factor family. {ECO:0000305}.
Q02085	reviewed	SNAI1_MOUSE	Zinc finger protein SNAI1 (Protein snail homolog 1) (Protein sna)	Snai1 Sna	Mus musculus (Mouse)	264	ZN_FING 156..176; /note="C2H2-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 180..202; /note="C2H2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 210..230; /note="C2H2-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 236..259; /note="C2H2-type 4; atypical"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"						REGION 1..20; /note="SNAG domain"; /evidence="ECO:0000305"; REGION 2..7; /note="Required and sufficient for interaction with KDM1A"; /evidence="ECO:0000250|UniProtKB:O95863"; REGION 10..40; /note="LATS2 binding"; /evidence="ECO:0000250"; REGION 85..116; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 120..151; /note="Required for FBXL14-triggered degradation"; /evidence="ECO:0000250|UniProtKB:O95863"; REGION 151..264; /note="Required for nuclear localization and interaction with KPNB1, NOTCH1 and PARP1"; /evidence="ECO:0000250|UniProtKB:O95863"	Snail C2H2-type zinc-finger protein family	MOTIF 95..100; /note="Destruction motif"	SIMILARITY: Belongs to the snail C2H2-type zinc-finger protein family. {ECO:0000305}.
Q03267	reviewed	IKZF1_MOUSE	DNA-binding protein Ikaros (Ikaros family zinc finger protein 1) (Lymphoid transcription factor LyF-1)	Ikzf1 Ikaros Lyf1 Zfpn1a1 Znfn1a1	Mus musculus (Mouse)	517	ZN_FING 117..139; /note="C2H2-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 144..166; /note="C2H2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 172..194; /note="C2H2-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 200..223; /note="C2H2-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 457..479; /note="C2H2-type 5"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 488..512; /note="C2H2-type 6"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"		COMPBIAS 37..47; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"	DOMAIN: The N-terminal zinc-fingers 2 and 3 are required for DNA binding as well as for targeting IKFZ1 to pericentromeric heterochromatin.; DOMAIN: The C-terminal zinc-finger domain is required for dimerization.			REGION 1..71; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 153..162; /note="Required for both high-affinity DNA binding and pericentromeric heterochromatin localization"; REGION 179..194; /note="Required for both high-affinity DNA binding and pericentromeric heterochromatin localization"; REGION 376..400; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 463..466; /note="Required for binding PP1CC"	Ikaros C2H2-type zinc-finger protein family		SIMILARITY: Belongs to the Ikaros C2H2-type zinc-finger protein family. {ECO:0000305}.
Q07231	reviewed	ZSC21_MOUSE	Zinc finger and SCAN domain-containing protein 21 (CtFIN51) (Transcription factor RU49) (Zinc finger protein 38) (Zfp-38)	Zscan21 Zfp-38 Zfp38 Zipro1 Znf38	Mus musculus (Mouse)	555	ZN_FING 359..381; /note="C2H2-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 387..409; /note="C2H2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 415..436; /note="C2H2-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 442..464; /note="C2H2-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 470..492; /note="C2H2-type 5"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 498..520; /note="C2H2-type 6"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 526..548; /note="C2H2-type 7"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"		COMPBIAS 210..240; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 280..302; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 316..332; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"		DOMAIN 122..204; /note="SCAN box"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00187"	REPEAT 18..56; /note="1-1"; REPEAT 57..95; /note="1-2"; REPEAT 96..134; /note="1-3"	REGION 1..74; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 18..134; /note="3 X 39 AA approximate tandem repeats"; REGION 102..133; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 204..243; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 263..354; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"	Krueppel C2H2-type zinc-finger protein family		SIMILARITY: Belongs to the krueppel C2H2-type zinc-finger protein family. {ECO:0000305}.
Q07243	reviewed	MTF1_MOUSE	Metal regulatory transcription factor 1 (MRE-binding transcription factor) (Transcription factor MTF-1)	Mtf1 Mtf-1	Mus musculus (Mouse)	675	ZN_FING 139..163; /note="C2H2-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 169..193; /note="C2H2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 199..223; /note="C2H2-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 228..252; /note="C2H2-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 258..282; /note="C2H2-type 5"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 288..312; /note="C2H2-type 6"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"		COMPBIAS 655..675; /note="Pro residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"				REGION 427..464; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 645..675; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"		MOTIF 132..137; /note="Nuclear localization signal"; /evidence="ECO:0000255"	
Q08376	reviewed	ZBT14_MOUSE	Zinc finger and BTB domain-containing protein 14 (Zinc finger protein 161) (Zfp-161) (Zinc finger protein 5) (ZF5)	Zbtb14 Zfp-5 Zfp161 Zfp5	Mus musculus (Mouse)	449	ZN_FING 277..304; /note="C2H2-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 305..332; /note="C2H2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 333..360; /note="C2H2-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 361..388; /note="C2H2-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 389..417; /note="C2H2-type 5"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"		COMPBIAS 157..178; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 405..417; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"	DOMAIN: The BTB/POZ domain seems to direct the protein to discrete regions in the nucleus. {ECO:0000250}.	DOMAIN 36..102; /note="BTB"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00037"		REGION 156..194; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 405..424; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"	Krueppel C2H2-type zinc-finger protein family	MOTIF 50..66; /note="Nuclear localization signal"; /evidence="ECO:0000255"	SIMILARITY: Belongs to the krueppel C2H2-type zinc-finger protein family. {ECO:0000305}.
Q0GGX2	reviewed	ZN541_MOUSE	Zinc finger protein 541 (Spermatogenic cell HDAC-interacting protein 1)	Znf541 Ship1 Zfp541	Mus musculus (Mouse)	1363	ZN_FING 140..162; /note="C2H2-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 168..190; /note="C2H2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 196..221; /note="C2H2-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 838..860; /note="C2H2-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 1301..1323; /note="C2H2-type 5"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"		COMPBIAS 311..321; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 335..345; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 597..608; /note="Pro residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 937..951; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1244..1276; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1345..1355; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"		DOMAIN 1063..1155; /note="ELM2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00512"; DOMAIN 1170..1221; /note="SANT"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00624"		REGION 1..23; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 106..137; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 232..269; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 286..387; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 440..532; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 574..741; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 935..978; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1243..1298; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1343..1363; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"			
Q0VDQ9	reviewed	FEZF1_MOUSE	Fez family zinc finger protein 1	Fezf1 Fez	Mus musculus (Mouse)	475	ZN_FING 260..282; /note="C2H2-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 288..310; /note="C2H2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 316..338; /note="C2H2-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 344..366; /note="C2H2-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 372..394; /note="C2H2-type 5"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 400..423; /note="C2H2-type 6"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"		COMPBIAS 427..437; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 439..466; /note="Pro residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"				REGION 425..475; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"	Krueppel C2H2-type zinc-finger protein family	MOTIF 28..43; /note="Engrailed homology 1 repressor"	SIMILARITY: Belongs to the krueppel C2H2-type zinc-finger protein family. {ECO:0000305}.
Q0VGT2	reviewed	GLI2_MOUSE	Zinc finger protein GLI2 (Tax helper protein)	Gli2 Thp	Mus musculus (Mouse)	1544	ZN_FING 417..444; /note="C2H2-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 455..477; /note="C2H2-type 2; degenerate"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 483..507; /note="C2H2-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 513..538; /note="C2H2-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 544..569; /note="C2H2-type 5"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"		COMPBIAS 569..585; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 790..800; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 805..814; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 954..963; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 997..1009; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1173..1190; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1200..1209; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"	DOMAIN: The N-terminal domain confers transcriptional repressor activity, while the C-terminal domain mediates transcriptional activation. {ECO:0000269|PubMed:10433919}.			REGION 1..26; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 338..364; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 557..619; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 635..682; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 781..800; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 805..861; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 908..963; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 995..1016; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1166..1220; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1422..1457; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"	GLI C2H2-type zinc-finger protein family		SIMILARITY: Belongs to the GLI C2H2-type zinc-finger protein family. {ECO:0000305}.
